CD_GEOCMU;NM_MUNICIP;NM_TI;Ano2019;Ano2020
2900108;Abaíra;Chapada Diamantina;8739;8710
2900207;Abaré;Itaparica;20086;20347
2900306;Acajutiba;Litoral Norte e Agreste Baiano;15159;15187
2900355;Adustina;Semiárido Nordeste II;17040;17126
2900405;Água Fria;Portal do Sertão;16970;17033
2900504;Érico Cardoso;Bacia do Paramirim;10610;10560
2900603;Aiquara;Médio Rio de Contas;4446;4416
2900702;Alagoinhas;Litoral Norte e Agreste Baiano;151596;152327
2900801;Alcobaça;Extremo Sul;22470;22490
2900900;Almadina;Litoral Sul;5464;5366
2901007;Amargosa;Vale do Jiquiriça;37241;37441
2901106;Amélia Rodrigues;Portal do Sertão;25102;25048
2901155;América Dourada;Irecê;16094;16090
2901205;Anagé;Sudoeste Baiano;22005;21607
2901304;Andaraí;Chapada Diamantina;13143;13132
2901353;Andorinha;Piemonte Norte do Itapicuru;14595;14503
2901403;Angical;Bacia do Rio Grande;13977;13938
2901502;Anguera;Portal do Sertão;11221;11297
2901601;Antas;Semiárido Nordeste II;19291;19479
2901700;Antônio Cardoso;Portal do Sertão;11683;11677
2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;11798;11878
2901908;Aporá;Litoral Norte e Agreste Baiano;17731;17788
2901957;Apuarema;Médio Rio de Contas;7330;7302
2902005;Aracatu;Sudoeste Baiano;13135;13045
2902054;Araças;Litoral Norte e Agreste Baiano;12177;12208
2902104;Araci;Sisal;54379;54648
2902203;Aramari;Litoral Norte e Agreste Baiano;11397;11461
2902252;Arataca;Litoral Sul;11019;10961
2902302;Aratuípe;Baixo Sul;8825;8837
2902401;Aurelino Leal;Litoral Sul;11531;11299
2902500;Baianópolis;Bacia do Rio Grande;13877;13929
2902609;Baixa Grande;Bacia do Jacuípe;20468;20449
2902658;Banzaê;Semiárido Nordeste II;13229;13240
2902708;Barra;Velho Chico;53578;53910
2902807;Barra da Estiva;Chapada Diamantina;20598;20392
2902906;Barra do Choça;Sudoeste Baiano;31603;31209
2903003;Barra do Mendes;Irecê;13865;13833
2903102;Barra do Rocha;Médio Rio de Contas;5714;5612
2903201;Barreiras;Bacia do Rio Grande;155439;156975
2903235;Barro Alto;Irecê;14931;15054
2903276;Barrocas;Sisal;15978;16105
2903300;Governador Lomanto Júnior/Barro Preto;Litoral Sul;5591;5448
2903409;Belmonte;Costa do Descobrimento;23328;23437
2903508;Belo Campo;Sudoeste Baiano;17211;17109
2903607;Biritinga;Sisal;15979;15984
2903706;Boa Nova;Médio Rio de Contas;12633;12329
2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;18576;18531
2903904;Bom Jesus da Lapa;Velho Chico;69148;69662
2903953;Bom Jesus da Serra;Sudoeste Baiano;9880;9823
2904001;Boninal;Chapada Diamantina;14368;14446
2904050;Bonito;Chapada Diamantina;16764;16884
2904100;Boquira;Bacia do Paramirim;21508;21497
2904209;Botuporã;Bacia do Paramirim;10211;10129
2904308;Brejões;Vale do Jiquiriça;14295;14222
2904407;Brejolândia;Bacia do Rio Corrente;10557;10618
2904506;Brotas de Macaúbas;Velho Chico;10231;10130
2904605;Brumado;Sertão Produtivo;67195;67335
2904704;Buerarema;Litoral Sul;18349;18306
2904753;Buritirama;Bacia do Rio Grande;21174;21276
2904803;Caatiba;Médio Sudoeste da Bahia;6758;6488
2904852;Cabaceiras do Paraguaçu;Recôncavo;18807;18911
2904902;Cachoeira;Recôncavo;33470;33567
2905008;Caculé;Sertão Produtivo;23170;23291
